order_date,order_id,order_line,customer_id,product_id,quantity,model,category_1,category_2,frame_material,price,bikeshop_name,location,city,state,total_price,order_id1
2011-01-07T00:00:00Z,1,1,2,48,1,Jekyll Carbon 2,Mountain , Over Mountain , Carbon,6070,Ithaca Mountain Climbers,"Ithaca, NY",Ithaca, NY,6070,1
2011-01-07T00:00:00Z,1,2,2,52,1,Trigger Carbon 2,Mountain , Over Mountain , Carbon,5970,Ithaca Mountain Climbers,"Ithaca, NY",Ithaca, NY,5970,1
2011-01-10T00:00:00Z,2,1,10,76,1,Beast of the East 1,Mountain , Trail , Aluminum,2770,Kansas City 29ers,"Kansas City, KS",Kansas City, KS,2770,2
2011-01-10T00:00:00Z,2,2,10,52,1,Trigger Carbon 2,Mountain , Over Mountain , Carbon,5970,Kansas City 29ers,"Kansas City, KS",Kansas City, KS,5970,2
2011-01-10T00:00:00Z,3,1,6,2,1,Supersix Evo Hi-Mod Team,Road , Elite Road , Carbon,10660,Louisville Race Equipment,"Louisville, KY",Louisville, KY,10660,3
2011-01-10T00:00:00Z,3,2,6,50,1,Jekyll Carbon 4,Mountain , Over Mountain , Carbon,3200,Louisville Race Equipment,"Louisville, KY",Louisville, KY,3200,3
2011-01-10T00:00:00Z,3,3,6,1,1,Supersix Evo Black Inc.,Road , Elite Road , Carbon,12790,Louisville Race Equipment,"Louisville, KY",Louisville, KY,12790,3
2011-01-10T00:00:00Z,3,4,6,4,1,Supersix Evo Hi-Mod Dura Ace 2,Road , Elite Road , Carbon,5330,Louisville Race Equipment,"Louisville, KY",Louisville, KY,5330,3
2011-01-10T00:00:00Z,3,5,6,34,1,Synapse Disc 105,Road , Endurance Road , Aluminum,1570,Louisville Race Equipment,"Louisville, KY",Louisville, KY,1570,3
2011-01-11T00:00:00Z,4,1,22,26,1,Synapse Carbon Disc Ultegra D12,Road , Endurance Road , Carbon,4800,Ann Arbor Speed,"Ann Arbor, MI",Ann Arbor, MI,4800,4
2011-01-11T00:00:00Z,5,1,8,96,1,Catalyst 3,Mountain , Sport , Aluminum,480,Denver Bike Shop,"Denver, CO",Denver, CO,480,5
2011-01-11T00:00:00Z,5,2,8,66,2,F-Si Black Inc.,Mountain , Cross Country Race , Carbon,11190,Denver Bike Shop,"Denver, CO",Denver, CO,22380,5
2011-01-11T00:00:00Z,5,3,8,35,1,Synapse Disc Tiagra,Road , Endurance Road , Aluminum,1250,Denver Bike Shop,"Denver, CO",Denver, CO,1250,5
2011-01-11T00:00:00Z,5,4,8,72,1,F-Si 2,Mountain , Cross Country Race , Aluminum,2060,Denver Bike Shop,"Denver, CO",Denver, CO,2060,5
2011-01-11T00:00:00Z,6,1,16,45,1,SuperX 105,Road , Cyclocross , Carbon,1960,Phoenix Bi-peds,"Phoenix, AZ",Phoenix, AZ,1960,6
2011-01-11T00:00:00Z,6,2,16,39,1,Slice Hi-Mod Dura Ace D12,Road , Triathalon , Carbon,4500,Phoenix Bi-peds,"Phoenix, AZ",Phoenix, AZ,4500,6
2011-01-11T00:00:00Z,6,3,16,87,1,Habit 5,Mountain , Trail , Aluminum,2340,Phoenix Bi-peds,"Phoenix, AZ",Phoenix, AZ,2340,6
2011-01-11T00:00:00Z,6,4,16,31,1,Synapse Carbon 105,Road , Endurance Road , Carbon,2240,Phoenix Bi-peds,"Phoenix, AZ",Phoenix, AZ,2240,6
2011-01-12T00:00:00Z,7,1,9,2,1,Supersix Evo Hi-Mod Team,Road , Elite Road , Carbon,10660,Minneapolis Bike Shop,"Minneapolis, MN",Minneapolis, MN,10660,7
2011-01-12T00:00:00Z,7,2,9,15,1,CAAD12 Ultegra,Road , Elite Road , Aluminum,2240,Minneapolis Bike Shop,"Minneapolis, MN",Minneapolis, MN,2240,7
